trade_id,book_id,trader_id,trade_date,settle_date,asset_class,product_type,instrument_id,instrument_description,currency,notional,quantity,trade_price,direction,counterparty_id,counterparty_name,status,maturity_date,bloomberg_id,internal_ref
DEMO-001,RATES-DEMO-01,DEMO-RA-TRADER-02,2024-08-01,2024-08-03,RATES,IRS,DEMO-IRS-001,Synthetic JPY receive/pay-fixed swap,JPY,674535510.0,23.0,124.7138,RECEIVE,DEMO-CP-002,Synthetic Counterparty 02,LIVE,2026-08-13,DEMO-BBG-001,DEMO-REF-0001
DEMO-002,RATES-DEMO-01,DEMO-RA-TRADER-01,07/15/2024,2024-07-17,RATES,IRS,DEMO-IRS-002,Synthetic KRW receive/pay-fixed swap,KRW,6966125198.5,26.0,117.1437,PAY,DEMO-CP-003,Synthetic Counterparty 03,LIVE,2027-02-09,DEMO-BBG-002,DEMO-REF-0002
DEMO-003,RATES-DEMO-01,DEMO-RA-TRADER-02,2024-06-28,2024-06-30,RATES,IRS,DEMO-IRS-003,Synthetic AUD receive/pay-fixed swap,AUD,8254018.46,29.0,90.8501,BUY,DEMO-CP-004,Synthetic Counterparty 04,LIVE,2027-08-08,DEMO-BBG-003,DEMO-REF-0003
DEMO-004,RATES-DEMO-01,DEMO-RA-TRADER-01,2024-06-11,2024-06-13,RATES,IRS,DEMO-IRS-004,Synthetic SGD receive/pay-fixed swap,SGD,9044415.6,32.0,90.6245,SELL,DEMO-CP-005,Synthetic Counterparty 05,LIVE,2028-02-04,DEMO-BBG-004,DEMO-REF-0004
DEMO-005,RATES-DEMO-01,DEMO-RA-TRADER-02,2024-05-25,2024-05-27,RATES,GOVT_BOND,DEMO-GOVT-005,Synthetic JPY sovereign bond,JPY,1051695150.0,35.0,113.9593,RECEIVE,DEMO-CP-006,Synthetic Counterparty 06,LIVE,2028-08-02,DEMO-BBG-005,DEMO-REF-0005
DEMO-006,RATES-DEMO-01,DEMO-RA-TRADER-01,2024-05-08,2024-05-10,RATES,GOVT_BOND,DEMO-GOVT-006,Synthetic JPY sovereign bond,JPY,1145985060.0,38.0,118.3804,PAY,DEMO-CP-007,Synthetic Counterparty 07,LIVE,2029-01-29,DEMO-BBG-006,DEMO-REF-0006
DEMO-007,RATES-DEMO-01,DEMO-RA-TRADER-02,2024-04-21,,RATES,GOVT_BOND,DEMO-GOVT-007,Synthetic KRW sovereign bond,KRW,11237805744.75,41.0,101.2631,BUY,DEMO-CP-008,Synthetic Counterparty 08,LIVE,2029-07-28,DEMO-BBG-007,DEMO-REF-0007
DEMO-008,RATES-DEMO-01,DEMO-RA-TRADER-01,2024-04-04,2024-04-06,RATES,GOVT_BOND,DEMO-GOVT-008,Synthetic SGD sovereign bond,SGD,12607367.2,44.0,124.0934,SELL,DEMO-CP-009,Synthetic Counterparty 09,LIVE,2026-02-14,DEMO-BBG-008,DEMO-REF-0008
DEMO-009,RATES-DEMO-01,DEMO-RA-TRADER-02,2024-03-18,2024-03-20,RATES,GOVT_BOND,DEMO-GOVT-009,Synthetic AUD sovereign bond,AUD,13664215.43,47.0,81.3215,RECEIVE,DEMO-CP-001,Synthetic Counterparty 01,LIVE,2026-08-13,DEMO-BBG-009,DEMO-REF-0009
DEMO-010,RATES-DEMO-01,DEMO-RA-TRADER-01,2024-03-01,2024-03-03,RATES,GOVT_BOND,DEMO-GOVT-010,Synthetic KRW sovereign bond,KRW,13800814072.5,50.0,85.9466,PAY,DEMO-CP-002,Synthetic Counterparty 02,LIVE,2027-02-09,DEMO-BBG-010,DEMO-REF-0010
DEMO-011,CREDIT-DEMO-01,DEMO-CR-TRADER-02,2024-02-13,2024-02-15,CREDIT,CORP_BOND,DEMO-CORP-MISSING,Synthetic USD corporate bond,USD,11150000.0,53.0,93.8153,BUY,DEMO-CP-003,Synthetic Counterparty 03,LIVE,2027-08-08,DEMO-BBG-011,DEMO-REF-0011
DEMO-012,CREDIT-DEMO-01,DEMO-CR-TRADER-01,2024-01-27,2024-01-29,CREDIT,CORP_BOND,DEMO-CORP-STALE,Synthetic USD corporate bond,USD,11800000.0,56.0,107.7649,SELL,DEMO-CP-004,Synthetic Counterparty 04,LIVE,2028-02-04,DEMO-BBG-012,DEMO-REF-0012
DEMO-013,CREDIT-DEMO-01,DEMO-CR-TRADER-02,2024-01-10,2024-01-12,CREDIT,CORP_BOND,DEMO-CORP-STALE,Synthetic JPY corporate bond,JPY,1806014430.0,59.0,105.1692,RECEIVE,DEMO-CP-005,Synthetic Counterparty 05,LIVE,2028-08-02,DEMO-BBG-013,DEMO-REF-0013
DEMO-014,CREDIT-DEMO-01,DEMO-CR-TRADER-01,2023-12-24,2023-12-26,CREDIT,CORP_BOND,DEMO-CORP-014,Synthetic USD corporate bond,USD,13100000.0,62.0,99.7181,PAY,DEMO-CP-006,Synthetic Counterparty 06,LIVE,2029-01-29,DEMO-BBG-014,DEMO-REF-0014
DEMO-015,CREDIT-DEMO-01,DEMO-CR-TRADER-02,2023-12-07,2023-12-09,CREDIT,CORP_BOND,DEMO-CORP-015,Synthetic SGD corporate bond,SGD,18842532.5,65.0,100.4576,BUY,DEMO-CP-007,Synthetic Counterparty 07,LIVE,2029-07-28,DEMO-BBG-015,DEMO-REF-0015
DEMO-016,CREDIT-DEMO-01,DEMO-CR-TRADER-01,2023-11-20,2023-11-22,CREDIT,CORP_BOND,DEMO-CORP-016,Synthetic HKD corporate bond,HKD,113254905.6,68.0,101.6486,SELL,DEMO-CP-008,Synthetic Counterparty 08,LIVE,2026-02-14,DEMO-BBG-016,DEMO-REF-0016
DEMO-017,CREDIT-DEMO-01,DEMO-CR-TRADER-02,2023-11-03,2023-11-05,CREDIT,CORP_BOND,DEMO-CORP-017,Synthetic CNH corporate bond,CNH,106585168.55,71.0,116.735,RECEIVE,DEMO-CP-009,Synthetic Counterparty 09,LIVE,2026-08-13,DEMO-BBG-017,DEMO-REF-0017
DEMO-018,CREDIT-DEMO-01,DEMO-CR-TRADER-01,2023-10-17,2023-10-19,CREDIT,CDS,DEMO-CDS-018,Synthetic sovereign five-year CDS,USD,15700000.0,74.0,114.576,SELL,DEMO-CP-001,Synthetic Counterparty 01,LIVE,2027-02-09,DEMO-BBG-018,DEMO-REF-0018
DEMO-019,CREDIT-DEMO-01,DEMO-CR-TRADER-02,09/30/2023,2023-10-02,CREDIT,CDS,DEMO-CDS-019,Synthetic sovereign five-year CDS,USD,16350000.0,77.0,108.4658,BUY,DEMO-CP-002,Synthetic Counterparty 02,LIVE,2027-08-08,DEMO-BBG-019,DEMO-REF-0019
DEMO-020,CREDIT-DEMO-01,DEMO-CR-TRADER-01,2023-09-13,2023-09-15,CREDIT,CDS,DEMO-CDS-020,Synthetic sovereign five-year CDS,USD,17000000.0,80.0,111.638,BUY,DEMO-CP-003,Synthetic Counterparty 03,LIVE,2028-02-04,DEMO-BBG-020,DEMO-REF-0020
DEMO-021,FX-DEMO-01,DEMO-FX-TRADER-02,2023-08-27,2023-08-29,FX,FX_SPOT,USDJPY,Synthetic USD/JPY spot,JPY,2560333710.0,83.0,37.4776,SELL,DEMO-CP-004,Synthetic Counterparty 04,LIVE,2025-01-04,DEMO-BBG-021,DEMO-REF-0021
DEMO-022,FX-DEMO-01,DEMO-FX-TRADER-01,2023-08-10,2023-08-12,FX,FX_SPOT,EURUSD,Synthetic EUR/USD spot,USD,18300000.0,86.0,103.3991,BUY,DEMO-CP-005,Synthetic Counterparty 05,LIVE,2025-01-03,DEMO-BBG-022,DEMO-REF-0022
DEMO-023,FX-DEMO-01,DEMO-FX-TRADER-02,2023-07-24,2023-07-26,FX,FX_FORWARD,USDSGD,Synthetic USD/SGD forward,SGD,25968435.7,89.0,64.8832,BUY,DEMO-CP-006,Synthetic Counterparty 06,LIVE,2025-01-02,DEMO-BBG-023,DEMO-REF-0023
DEMO-024,FX-DEMO-01,DEMO-FX-TRADER-01,2023-07-07,2023-07-09,FX,FX_SPOT,AUDUSD,Synthetic AUD/USD spot,USD,19600000.0,92.0,97.4933,SELL,DEMO-CP-007,Synthetic Counterparty 07,LIVE,2025-01-01,DEMO-BBG-024,DEMO-REF-0024
DEMO-025,FX-DEMO-01,DEMO-FX-TRADER-02,2023-06-20,2023-06-22,FX,FX_NDF,USDCNH,Synthetic USD/CNH ndf,CNH,143411937.75,95.0,133.1777,BUY,DEMO-CP-008,Synthetic Counterparty 08,LIVE,2026-08-13,DEMO-BBG-025,DEMO-REF-0025
